Биграмма;Частота;Вероятность;
сп;116;0,00113515;
ср;31;0,000303359;
сс;128;0,00125258;
ст;1 318;0,0128977;
су;59;0,000577362;
сф;5;4,89289e-05;
сх;30;0,000293574;
сц;5;4,89289e-05;
сч;27;0,000264216;
сш;8;7,82863e-05;
сы;33;0,000322931;
сь;252;0,00246602;
сю;16;0,000156573;
ся;248;0,00242688;
сё;1;9,78579e-06;
т ;419;0,00410025;
та;498;0,00487332;
тб;3;2,93574e-05;
тв;395;0,00386539;
тг;2;1,95716e-05;
тд;14;0,000137001;
те;575;0,00562683;
тж;1;9,78579e-06;
тз;1;9,78579e-06;
ти;430;0,00420789;
тк;54;0,000528433;
тл;26;0,000254431;
тм;4;3,91432e-05;
тн;120;0,00117429;
то;1 324;0,0129564;
тп;7;6,85005e-05;
тр;233;0,00228009;
тс;93;0,000910078;
тт;8;7,82863e-05;
ту;134;0,0013113;
тц;8;7,82863e-05;
тч;15;0,000146787;
тщ;4;3,91432e-05;
тъ;2;1,95716e-05;
ты;138;0,00135044;
ть;491;0,00480482;
тю;1;9,78579e-06;
тя;35;0,000342503;
у ;587;0,00574426;
уа;4;3,91432e-05;
уб;59;0,000577362;
ув;83;0,000812221;
уг;116;0,00113515;
уд;161;0,00157551;
уе;9;8,80721e-05;
уж;140;0,00137001;
уз;43;0,000420789;
уи;2;1,95716e-05;
уй;10;9,78579e-05;
ук;48;0,000469718;
ул;109;0,00106665;
ум;113;0,00110579;
ун;22;0,000215287;
уп;42;0,000411003;
ур;45;0,000440361;
ус;150;0,00146787;
ут;126;0,00123301;
уу;1;9,78579e-06;
ух;56;0,000548004;
уц;1;9,78579e-06;
уч;75;0,000733934;
уш;79;0,000773077;
ущ;48;0,000469718;
ую;141;0,0013798;
уя;5;4,89289e-05;
ф ;10;9,78579e-05;
фа;21;0,000205502;
фе;5;4,89289e-05;
фи;54;0,000528433;
фл;3;2,93574e-05;
фо;10;9,78579e-05;
фр;29;0,000283788;
фс;5;4,89289e-05;
фу;2;1,95716e-05;
фф;1;9,78579e-06;
фы;4;3,91432e-05;
фь;1;9,78579e-06;
х ;410;0,00401217;
ха;51;0,000499075;
хв;12;0,000117429;
хе;2;1,95716e-05;
хи;18;0,000176144;
хл;3;2,93574e-05;
хм;1;9,78579e-06;
хн;14;0,000137001;
хо;248;0,00242688;
хр;15;0,000146787;
хс;4;3,91432e-05;
ху;21;0,000205502;
хш;1;9,78579e-06;
хъ;1;9,78579e-06;
ц ;22;0,000215287;
ца;65;0,000636076;
цв;4;3,91432e-05;
це;85;0,000831792;
ци;68;0,000665434;
цк;7;6,85005e-05;
цо;33;0,000322931;
цт;1;9,78579e-06;
цу;28;0,000274002;
цы;13;0,000127215;
ч ;11;0,000107644;
ча;207;0,00202566;
чв;4;3,91432e-05;
че;358;0,00350331;
чи;150;0,00146787;
чк;22;0,000215287;
чл;3;2,93574e-05;
чн;73;0,000714363;
чо;1;9,78579e-06;
чр;2;1,95716e-05;
чт;215;0,00210394;
чу;57;0,00055779;
чш;5;4,89289e-05;
чь;19;0,00018593;
ш ;10;9,78579e-05;
ша;93;0,000910078;
шв;2;1,95716e-05;
ше;190;0,0018593;
ши;138;0,00135044;
шк;24;0,000234859;
шл;41;0,000401217;
шм;2;1,95716e-05;
шн;32;0,000313145;
шо;25;0,000244645;
шт;5;4,89289e-05;
шу;19;0,00018593;
шь;28;0,000274002;
щ ;2;1,95716e-05;
ща;43;0,000420789;
ще;128;0,00125258;
щи;74;0,000724148;
щн;3;2,93574e-05;
щу;14;0,000137001;
щь;2;1,95716e-05;
ъ ;2;1,95716e-05;
ъе;7;6,85005e-05;
ъю;5;4,89289e-05;
ъя;9;8,80721e-05;
ы ;459;0,00449168;
ыб;60;0,000587147;
ыв;88;0,000861149;
ыг;14;0,000137001;
ыд;5;4,89289e-05;
ые;103;0,00100794;
ыж;1;9,78579e-06;
ыз;5;4,89289e-05;
ыи;1;9,78579e-06;
ый;163;0,00159508;
ык;23;0,000225073;
ыл;166;0,00162444;
ым;190;0,0018593;
ын;27;0,000264216;
ыр;33;0,000322931;
ыс;73;0,000714363;
ыт;67;0,000655648;
ых;166;0,00162444;
ыч;12;0,000117429;
ыш;29;0,000283788;
ь ;882;0,00863107;
ьб;13;0,000127215;
ьг;3;2,93574e-05;
ьд;3;2,93574e-05;
ье;124;0,00121344;
ьз;12;0,000117429;
ьи;5;4,89289e-05;
ьк;99;0,000968793;
ьм;11;0,000107644;
ьн;183;0,0017908;
ьс;61;0,000596933;
ьт;12;0,000117429;
ьц;3;2,93574e-05;
ьч;2;1,95716e-05;
ьш;34;0,000332717;
ьщ;1;9,78579e-06;
ью;45;0,000440361;
ья;50;0,000489289;
эг;5;4,89289e-05;
эд;1;9,78579e-06;
эз;3;2,93574e-05;
эк;1;9,78579e-06;
эл;10;9,78579e-05;
эм;8;7,82863e-05;
эн;8;7,82863e-05;
эп;13;0,000127215;
эс;2;1,95716e-05;
эт;208;0,00203544;
ю ;336;0,00328803;
юб;55;0,000538218;
юд;41;0,000401217;
юж;1;9,78579e-06;
юз;2;1,95716e-05;
юл;6;5,87147e-05;
юм;3;2,93574e-05;
юн;4;3,91432e-05;
юр;2;1,95716e-05;
юс;9;8,80721e-05;
ют;24;0,000234859;
юх;1;9,78579e-06;
юц;6;5,87147e-05;
юч;16;0,000156573;
юш;1;9,78579e-06;
ющ;66;0,000645862;
юю;11;0,000107644;
я ;1 138;0,0111362;
яб;1;9,78579e-06;
яв;30;0,000293574;
яг;38;0,00037186;
яд;47;0,000459932;
яе;11;0,000107644;
яж;13;0,000127215;
яз;80;0,000782863;
яи;2;1,95716e-05;
яй;2;1,95716e-05;
як;6;5,87147e-05;
ял;76;0,00074372;
ям;46;0,000450146;
ян;45;0,000440361;
яо;2;1,95716e-05;
яп;2;1,95716e-05;
яр;4;3,91432e-05;
яс;56;0,000548004;
ят;139;0,00136022;
ях;23;0,000225073;
яц;2;1,95716e-05;
яч;11;0,000107644;
ящ;19;0,00018593;
яю;8;7,82863e-05;
яя;19;0,00018593;
ё ;2;1,95716e-05;
